Nombre; Maximo; Minimo; Media
ACCIONA; 96,75; 96,75; 95.575 
ACERINOX; 8672; 8672; 8570.0 
ACS; 37,66; 37,66; 37.440002 
AENA; 167,5; 167,5; 166.8 
AMADEUS; 70,64; 70,64; 70.1 
ARCELORMIT.; 14318; 14318; 7166.04 
BA.SABADELL; 1033; 1033; 517.00824 
BA.SANTANDER; 4,0675; 4,0675; 4.03875 
BANKIA; 2262; 2262; 2243.0 
BANKINTER; 6604; 6604; 6563.0 
BBVA; 5,05; 5,05; 2487.025 
CAIXABANK; 2806; 2806; 2784.0 
CELLNEX; 30,7; 30,7; 30.435001 
CIE AUTOMOT.; 23,74; 23,74; 23.57 
ENAGAS; 25,66; 25,66; 25.365 
ENCE; 3974; 3974; 3910.0 
ENDESA; 23,03; 23,03; 22.825 
FERROVIAL; 21,72; 21,72; 21.55 
GRIFOLS CL.A; 23,6; 23,6; 23.435001 
IAG; 5,46; 5,46; 2648.73 
IBERDROLA; 8,45; 8,45; 4135.225 
INDITEX; 25,19; 25,19; 25.03 
INDRA A; 9685; 9685; 9610.0 
INM.COLONIAL; 9915; 9915; 9830.0 
MAPFRE; 2654; 2654; 1328.31 
MEDIASET; 6592; 6592; 6519.0 
MELIA HOTELS; 8,19; 8,19; 8.105 
MERLIN; 12,08; 12,08; 11.955 
NATURGY; 26,77; 26,77; 26.650002 
R.E.C.; 19875; 19875; 19775.0 
REPSOL; 14605; 14605; 7309.73 
SIEMENS GAME; 14,39; 14,39; 7084.695 
TEC.REUNIDAS; 23,2; 23,2; 22.990002 
TELEFONICA; 7256; 7256; 7220.5 
VISCOFAN; 49,12; 49,12; 48.79 
